exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	core_metric	val_bpb	delta_vs_best	train_s	total_s	job_name	snapshot_path	notes
001	2026-05-16T03:42:42Z	orionfold-curator/F16	000	000	vertical-curator-medical	F16 quant of Intelligent-Internet/II-Medical-8B — Spark-tested measurement layer	MedMCQA accuracy delta vs F16 baseline	keep	0.48	16.2676			3071.3	orionfold-ii-medical-8b-f16	/home/nvidia/data/quants/II-Medical-8B/model-F16.gguf	tg_tok_per_s=15.9 ; pp_tok_per_s=2262.2 ; sustained_load_min=48.9 ; gguf_size_bytes=16388039744 ; bench=openlifescienceai/medmcqa ; corpus=wikitext-2-raw-v1/wiki.test.raw
002	2026-05-16T04:02:37Z	orionfold-curator/Q4_K_M	000	000	vertical-curator-medical	Q4_K_M quant of Intelligent-Internet/II-Medical-8B — Spark-tested measurement layer	MedMCQA accuracy delta vs F16 baseline	keep	0.42	16.55	-0.06		1195.1	orionfold-ii-medical-8b-q4_k_m	/home/nvidia/data/quants/II-Medical-8B/model-Q4_K_M.gguf	tg_tok_per_s=43.6 ; pp_tok_per_s=2773.2 ; sustained_load_min=18.1 ; gguf_size_bytes=5027779648 ; bench=openlifescienceai/medmcqa ; corpus=wikitext-2-raw-v1/wiki.test.raw
003	2026-05-16T04:25:07Z	orionfold-curator/Q5_K_M	000	000	vertical-curator-medical	Q5_K_M quant of Intelligent-Internet/II-Medical-8B — Spark-tested measurement layer	MedMCQA accuracy delta vs F16 baseline	keep	0.52	16.2418	0.04		1350.0	orionfold-ii-medical-8b-q5_k_m	/home/nvidia/data/quants/II-Medical-8B/model-Q5_K_M.gguf	tg_tok_per_s=36.4 ; pp_tok_per_s=2579.5 ; sustained_load_min=20.6 ; gguf_size_bytes=5851108416 ; bench=openlifescienceai/medmcqa ; corpus=wikitext-2-raw-v1/wiki.test.raw
004	2026-05-16T04:50:55Z	orionfold-curator/Q6_K	000	000	vertical-curator-medical	Q6_K quant of Intelligent-Internet/II-Medical-8B — Spark-tested measurement layer	MedMCQA accuracy delta vs F16 baseline	keep	0.46	16.0139	-0.02		1548.6	orionfold-ii-medical-8b-q6_k	/home/nvidia/data/quants/II-Medical-8B/model-Q6_K.gguf	tg_tok_per_s=32.8 ; pp_tok_per_s=2332.2 ; sustained_load_min=23.6 ; gguf_size_bytes=6725895232 ; bench=openlifescienceai/medmcqa ; corpus=wikitext-2-raw-v1/wiki.test.raw
005	2026-05-16T05:20:17Z	orionfold-curator/Q8_0	000	000	vertical-curator-medical	Q8_0 quant of Intelligent-Internet/II-Medical-8B — Spark-tested measurement layer	MedMCQA accuracy delta vs F16 baseline	keep	0.48	16.2957	0.0		1762.0	orionfold-ii-medical-8b-q8_0	/home/nvidia/data/quants/II-Medical-8B/model-Q8_0.gguf	tg_tok_per_s=28.4 ; pp_tok_per_s=2523.3 ; sustained_load_min=27.3 ; gguf_size_bytes=8709514304 ; bench=openlifescienceai/medmcqa ; corpus=wikitext-2-raw-v1/wiki.test.raw
