exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	core_metric	val_bpb	delta_vs_best	train_s	total_s	job_name	snapshot_path	notes
000	2026-05-14T00:00:00Z	orionfold-curator		000	vertical-curator-finance	Quantize AdaptLLM/finance-chat (Llama-2 7B chat-tuned, AdaptLLM domain-adapted) to five GGUF variants and ship as orionfoldllc/finance-chat-GGUF with FinanceBench mini-eval + Spark perplexity + tok/s + sustained-load minutes on every card. V1-retry after the continued-pretrain pairing miss with instruction-pretrain/finance-Llama3-8B (0/250 across all 5 variants).		baseline						orionfold-finance-chat-v0		hf_repo=AdaptLLM/finance-chat ; arch=LlamaForCausalLM (Llama-2 7B) ; license=Llama-2 Community License (Meta) + AdaptLLM upstream ; params=6.74B ; weight_bytes=13476837376 ; target_repo=orionfoldllc/finance-chat-GGUF ; variants=Q4_K_M/Q5_K_M/Q6_K/Q8_0/F16 ; bench=FinanceBench (public open subset) (PatronusAI/financebench, CC-BY-NC-4.0, arxiv:2311.11944) ; bench_file=financebench_merged.jsonl ; bench_size=150 Q&A pairs (open subset; full bench is 10.2K) ; bench_scorer=fieldkit.eval.numeric_match (rel_tolerance=0.01) ; calibration=wikitext-2 raw test split (4,358 lines, 1.3 MB) @ /home/nvidia/data/calibration/wikitext-2-raw-v1/wiki.test.raw ; retry_of=finance-Llama3-8B (continued-pretrain trap; see feedback_chat_vs_continued_pretrain_trap) ; v0_gate=preflight-bench (5 questions on FP weights; threshold ≥ 1/5)
001	2026-05-14T02:05:27Z	orionfold-curator/F16	000	000	vertical-curator-finance	F16 quant of AdaptLLM/finance-chat — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.18	6.1373			498.5	orionfold-finance-chat-f16	/home/nvidia/data/quants/finance-chat/model-F16.gguf	tg_tok_per_s=11.5 ; pp_tok_per_s=1126.8 ; sustained_load_min=3.4 ; gguf_size_bytes=13478122560 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
002	2026-05-14T02:12:49Z	orionfold-curator/Q4_K_M	000	000	vertical-curator-finance	Q4_K_M quant of AdaptLLM/finance-chat — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.14	6.2215	-0.04		442.5	orionfold-finance-chat-q4_k_m	/home/nvidia/data/quants/finance-chat/model-Q4_K_M.gguf	tg_tok_per_s=31.1 ; pp_tok_per_s=1111.1 ; sustained_load_min=2.2 ; gguf_size_bytes=4081011296 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
003	2026-05-14T02:21:07Z	orionfold-curator/Q5_K_M	000	000	vertical-curator-finance	Q5_K_M quant of AdaptLLM/finance-chat — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.16	6.1641	-0.02		497.3	orionfold-finance-chat-q5_k_m	/home/nvidia/data/quants/finance-chat/model-Q5_K_M.gguf	tg_tok_per_s=26.9 ; pp_tok_per_s=1088.6 ; sustained_load_min=2.7 ; gguf_size_bytes=4783164512 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
004	2026-05-14T02:30:25Z	orionfold-curator/Q6_K	000	000	vertical-curator-finance	Q6_K quant of AdaptLLM/finance-chat — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.16	6.1468	-0.02		558.2	orionfold-finance-chat-q6_k	/home/nvidia/data/quants/finance-chat/model-Q6_K.gguf	tg_tok_per_s=23.9 ; pp_tok_per_s=930.7 ; sustained_load_min=2.8 ; gguf_size_bytes=5529202304 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
005	2026-05-14T02:43:31Z	orionfold-curator/Q8_0	000	000	vertical-curator-finance	Q8_0 quant of AdaptLLM/finance-chat — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.18	6.1373	0.0		785.8	orionfold-finance-chat-q8_0	/home/nvidia/data/quants/finance-chat/model-Q8_0.gguf	tg_tok_per_s=8.9 ; pp_tok_per_s=504.4 ; sustained_load_min=3.2 ; gguf_size_bytes=7161099840 ; bench=PatronusAI/financebench ; corpus=wikitext-2-raw-v1/wiki.test.raw
