exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	core_metric	val_bpb	delta_vs_best	train_s	total_s	job_name	snapshot_path	notes
001	2026-05-14T15:13:45Z	orionfold-curator/F16	000	000	vertical-curator-legal	F16 quant of Equall/Saul-7B-Instruct-v1 — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.68	5.9165			615.1	orionfold-saul-7b-instruct-v1-f16	/home/nvidia/data/quants/Saul-7B-Instruct-v1/model-F16.gguf	tg_tok_per_s=10.9 ; pp_tok_per_s=1137.0 ; sustained_load_min=5.2 ; gguf_size_bytes=14484732736 ; bench=nguha/legalbench ; corpus=wikitext-2-raw-v1/wiki.test.raw
002	2026-05-14T15:20:31Z	orionfold-curator/Q4_K_M	000	000	vertical-curator-legal	Q4_K_M quant of Equall/Saul-7B-Instruct-v1 — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.62	5.9864	-0.06		405.8	orionfold-saul-7b-instruct-v1-q4_k_m	/home/nvidia/data/quants/Saul-7B-Instruct-v1/model-Q4_K_M.gguf	tg_tok_per_s=29.4 ; pp_tok_per_s=1058.5 ; sustained_load_min=1.7 ; gguf_size_bytes=4368440128 ; bench=nguha/legalbench ; corpus=wikitext-2-raw-v1/wiki.test.raw
003	2026-05-14T15:28:01Z	orionfold-curator/Q5_K_M	000	000	vertical-curator-legal	Q5_K_M quant of Equall/Saul-7B-Instruct-v1 — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.72	5.938	0.04		450.1	orionfold-saul-7b-instruct-v1-q5_k_m	/home/nvidia/data/quants/Saul-7B-Instruct-v1/model-Q5_K_M.gguf	tg_tok_per_s=20.2 ; pp_tok_per_s=465.3 ; sustained_load_min=2.4 ; gguf_size_bytes=5131410240 ; bench=nguha/legalbench ; corpus=wikitext-2-raw-v1/wiki.test.raw
004	2026-05-14T15:36:49Z	orionfold-curator/Q6_K	000	000	vertical-curator-legal	Q6_K quant of Equall/Saul-7B-Instruct-v1 — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.68	5.925	0.0		528.0	orionfold-saul-7b-instruct-v1-q6_k	/home/nvidia/data/quants/Saul-7B-Instruct-v1/model-Q6_K.gguf	tg_tok_per_s=22.4 ; pp_tok_per_s=881.5 ; sustained_load_min=2.5 ; gguf_size_bytes=5942065984 ; bench=nguha/legalbench ; corpus=wikitext-2-raw-v1/wiki.test.raw
005	2026-05-14T15:48:46Z	orionfold-curator/Q8_0	000	000	vertical-curator-legal	Q8_0 quant of Equall/Saul-7B-Instruct-v1 — Spark-tested measurement layer	FinanceBench accuracy delta vs F16 baseline	keep	0.66	5.9138	-0.02		716.9	orionfold-saul-7b-instruct-v1-q8_0	/home/nvidia/data/quants/Saul-7B-Instruct-v1/model-Q8_0.gguf	tg_tok_per_s=7.3 ; pp_tok_per_s=501.2 ; sustained_load_min=7.2 ; gguf_size_bytes=7695858496 ; bench=nguha/legalbench ; corpus=wikitext-2-raw-v1/wiki.test.raw
